ID,Image_link,link_anime,Title,SubTitle,Description,Tập mới,Tập mới nhất,Lịch chiếu,Thể loại,Đạo diễn,Quốc gia,Thời lượng
1,https://animevui.org/uploads/1758078617_-hoang-co-an-cuu-luc-pha-phong-hd482934-1758078617.webp,https://animevui.org/thong-tin-phim/-hoang-co-an-cuu-luc-pha-phong-hd482934,Hoang Cổ Ân Cừu Lục: Phá Phong,Enmity in the Primordial Wasteland: The Wind-Breaking Chapter,"Hoang Cổ Ân Cừu Lục: Phá Phong, tác phẩm vẽ lên bức họa của cậu thiếu niên trẻ tuổi Tân Phong đầy ngang tàng và bất khuất trên đất nước Vô Cực đầy biến động. Khi mà còn đang được xưng tụng là một thiên tài trẻ tuổi với đầy những triển vọng, hứa hẹn về một tương lai rạng ngời tươi sáng thì những tai họa liên tiếp ập xuống đầu gia tộc của cậu, biến cậu trở thành một kẻ cô độc và gần như là phế nhân, chẳng còn chút thiên phú nào lúc trước còn lại nữa cả. Để sống sót và tạm tránh khỏi sự truy sát của kẻ thù, Tân Phong đành phải lang bạt giang hồ và tìm đến một tông môn vô danh tiểu tốt, nhỏ bé đến mức chẳng mấy ai biết đến cả, tại nơi đó, cậu hy vọng sẽ được an phận và âm thầm tu luyện bản thân. Vậy nhưng, tu luyện, gian khổ thì có thể có, nhưng an phận thì không, không thiếu những kẻ lắm chuyện vẫn luôn bắt nạt cậu, biến cậu thành những trò hề và coi thường cậu như một tên phế vật. Tân Phong vẫn luôn cắn răng chịu đựng để tu luyện, chờ thời khắc thích hợp nhất để bung sức, cho bọn đồng môn kia biết thế nào là lễ hội. Thế rồi ngày ấy cũng đến, nạn nhân lần này chính là tên thiên tài trong tông môn, kẻ có tên là Vân Thiên Vũ, với sức mạnh và khả năng tu luyện cũng được coi là thiên tài, chỉ đen cho hắn khi mà đối thủ lần này của hắn chính là Tân Phong. Một cơ hội không thể tốt hơn, đánh bại Vân Thiên Vũ, thể hiện bản thân và cũng là cơ hội để đoạt lấy một trong ba vị trí vinh dự tiến vào Thiên Đạo Viện, nơi được coi là con đường nhanh nhất, ngắn nhất để có thể nâng cao thực lực bản thân, cũng là tiền đề để Tân Phong đoạt lại những thứ mà vốn dĩ phải thuộc về cậu ấy.","Tập 11, Tập 10, Tập 09",Phim đang chiếu / Cập Nhật Tập 11 VietSub,10h Thứ 4 & Thứ 6,"Adventure, Cartoon, Fantasy, Anime bộ, Anime mới",Đạo diễn: Đang cập nhật,Quốc gia: Trung Quốc,11/40
2,https://animevui.org/uploads/0-saiji-start-dash-monogatari-a5366_1732019595.webp,https://animevui.org/thong-tin-phim/0-saiji-start-dash-monogatari-hd482934,0-saiji Start Dash Monogatari,Head Start at Birth,"Lilia, con gái mới sinh của một hầu tước, có ký ức về kiếp trước! Với kiến ​​thức về game thủ gian lận, cô đặt mục tiêu trở thành cô gái mạnh nhất ở ""thế giới khác"" mới này!","Tập 12_END, Tập 11, Tập 10",Phim đang chiếu / Cập Nhật Tập 12 VietSub,Đang cập nhật...,"Adventure, Anime mới",Đạo diễn: Đang cập nhật...,Quốc gia: Nhật Bản,12/12
3,https://animevui.org/uploads/0-saiji-start-dash-monogatari-season-2-a5565_1738089519.webp,https://animevui.org/thong-tin-phim/0-saiji-start-dash-monogatari-season-2-hd482934,0-saiji Start Dash Monogatari Season 2,"0 Years Old Child Starting Dash Story Season 2, Head Start at Birth Season 2",Mùa thứ hai 0-saiji Start Dash Monogatari.,"Tập 12_END, Tập 11, Tập 10",Phim đang chiếu / Cập Nhật Tập 12 VietSub,Đang cập nhật...,"Anime mới, Anime bộ, Fantasy, Adventure",Đạo diễn:,Quốc gia: Nhật Bản,12/12
4,https://animevui.org/uploads/kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-a5072_1732450873.webp,https://animevui.org/thong-tin-phim/100-co-ban-gai-yeu-ban-rat-rat-rat-rat-rat-nhieu-hd482934,100 Cô Bạn Gái Yêu Bạn Rất Rất Rất Rất Rất Nhiều,"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo, The 100 Girlfriends Who Really, Really, Really, Really, Really Love You (2023)","Mùa xuân là mùa của những cuộc chia li và gặp gỡ. Aijou Rentarou đã phải trải qua nỗi đau bị từ chối sau khi tỏ tình lần thứ 100 đúng vào lễ tốt nghiệp trung học của mình. Cậu ra dáng một quý ông có trái tim trong sáng và thuần khiết, mọi người xung quanh đều nói cậu có khuôn mặt và tính cách tốt. Một vị thần hôn nhân và tình yêu của ngôi đền bất ngờ xuất hiện trước Rentarou đang tuyệt vọng, nói rằng cuộc sống trung học mới sắp bắt đầu và cậu sẽ gặp 100 người bạn định mệnh và những những người không hoà hợp với cậu bằng cách nào đó sẽ phải chết. Đột nhiên, một vận mệnh Yêu hoặc Chết ×100 gây sốc được thuê dệt. Bằng cách này, những ngày xám xịt khi bị từ chối chuyển sang những ngày tươi sáng khi cậu bắt đầu tràn ngập trong hạnh phúc tình yêu! Không có luật nào nói rằng bạn không thể có 100 bạn gái? Sẽ không một ai bị bỏ rơi...!? Cuộc sống trung học harem tình yêu hài hước thuần túy kỳ lạ, mối tình đa thê đầy chân thành và tiếng sét ái tình sẽ lần lượt đưa những người định mệnh đến với nhau.","Tập 12_END, Tập 11, Tập 10",Phim đang chiếu / Cập Nhật Tập 12 VietSub,Đang cập nhật...,"School, Anime mới, Parody",Đạo diễn: Satou Hikaru,Quốc gia: Nhật Bản,12/12
5,https://animevui.org/uploads/kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-2nd-season-a5497_1736704782.webp,https://animevui.org/thong-tin-phim/100-co-ban-gai-yeu-ban-rat-rat-rat-rat-rat-nhieu-mua-2-hd482934,100 Cô Bạn Gái Yêu Bạn Rất Rất Rất Rất Rất Nhiều Mùa 2,"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season, The 100 Girlfriends Who Really, Really, Really, Really, Really Love You Season 2, Hyakkano 2nd Season",Mùa 2 của Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo.,"Tập 12_END, Tập 11, Tập 10",Phim đang chiếu / Cập Nhật Tập 12 VietSub,Đang cập nhật...,"Anime mới, Anime bộ, Slice of Life, Seinen, School, Romance, Harem, Comedy, Parody",Đạo diễn: Satou Hikaru,Quốc gia: Nhật Bản,12/12
6,https://animevui.org/uploads/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-a3862_1732378473.webp,https://animevui.org/thong-tin-phim/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-hd482934,100-man no Inochi no Ue ni Ore wa Tatteiru,"I'm standing on 1,000,000 lives., I'm Standing on a Million Lives","Yotsuya Yuusuke cùng với các bạn cùng lớp Shindou Iu và Hakozaki Kusue đã được đưa đến một thế giới kỳ lạ và chưa được biết đến là nơi sinh sống của các sinh vật thần thoại. Ngay khi họ đến nơi, họ gặp một người tự xưng là Game Master, người sau đó giao cho họ một nhiệm vụ có giới hạn thời gian. Để hỗ trợ họ trong nhiệm vụ này, anh ấy cũng ban cho Shindou và Hakozaki các vai Pháp sư và Chiến binh trong khi Yotsuya ngẫu nhiên được giao vai ... một Nông dân ?!Đây là cách cuộc sống phiêu lưu bận rộn bắt đầu cho ba sinh viên giờ đây không còn lựa chọn nào khác ngoài việc hoàn thành các nhiệm vụ ngẫu nhiên cho một số giai đoạn trong thế giới tưởng tượng nếu họ muốn sống sót và bảo vệ thế giới thực khỏi ma quỷ và quái vật mà họ gặp phải.","Tập 12, Tập 11, Tập 10",Phim đang chiếu / Cập Nhật Tập 12 VietSub,Đang cập nhật...,"Game, Anime bộ, Shounen, Fantasy, Drama, Action",Đạo diễn: Habara Kumiko,Quốc gia: Nhật Bản,12/12
7,https://animevui.org/uploads/11eyes-i1-a89_1733466664.webp,https://animevui.org/thong-tin-phim/11eyes-hd482934,11eyes,,,Đang cập nhật...,Đang cập nhật...,Đang cập nhật...,Super Power,Đạo diễn: Đang cập nhật...,Quốc gia: Đang cập nhật...,Đang cập nhật...
8,https://animevui.org/uploads/11-eyes-momoiro-genmutan-r1-a90_1733466663.webp,https://animevui.org/thong-tin-phim/11eyes-momoiro-genmutan-hd482934,11eyes: Momoiro Genmutan,,,Đang cập nhật...,Đang cập nhật...,Đang cập nhật...,Super Power,Đạo diễn: Đang cập nhật...,Quốc gia: Đang cập nhật...,Đang cập nhật...
9,https://animevui.org/uploads/3-gatsu-no-lion-2nd-season-i1-a2840_1732378159.webp,https://animevui.org/thong-tin-phim/3-gatsu-no-lion-2nd-season-hd482934,3-gatsu no Lion 2nd Season,Sangatsu no Lion Second Season,Mùa thứ 2 của Series Anime 3-gatsu no Lion,"Tập 22, Tập 21, Tập 20",Phim đang chiếu / Cập Nhật Tập 22 VietSub,Đang cập nhật...,"Game, Anime bộ, Seinen, Slice of Life, Drama",Đạo diễn:,Quốc gia: Nhật Bản,22/22
10,https://animevui.org/uploads/3-gatsu-no-lion-r1-a84_1732375799.webp,https://animevui.org/thong-tin-phim/3-gatsu-no-lion-hd482934,3-gatsu no Lion,"March comes in like a lion, Sangatsu no Lion","Rei Kiriyama là một cậu bé 17 tuổi sống một mình. Mặc sống độc lập nhưng anh ấy chưa trưởng thành về mặt cảm xúc, và các vấn đề của mình tiếp tục ám ảnh ông trong cuộc sống hàng ngày các mối quan hệ với gia đình và bạn bè. Trong khi đó, sự nghiệp chuyên nghiệp của cậu bước vào một cuộc khủng hoảng. Gánh nặng với những kỳ vọng nặng nề đặt trên cậu liên tục dồn dập. Và sau đó cậu đã quen với ba chị em Kawamoto: Akari, Hinata, và Momo. Không giống như Rei, họ sống hạnh phúc trong ngôi nhà của họ.","Tập 22, Tập 21, Tập 20",Phim đang chiếu / Cập Nhật Tập 22 VietSub,Đang cập nhật...,"Game, Anime bộ, Seinen, Slice of Life, Drama",Đạo diễn: Shinbou Akiyuki,Quốc gia: Nhật Bản,22/22
